regime,case_type,subset_seed,graph_id,candidate_label,true_obj,objective_gap_from_opt,normalized_gap_from_opt,rank_true_obj,edge_count,edge_jaccard_with_opt,edge_jaccard_with_2stage,edge_jaccard_with_spoplus,same_as_opt,same_as_2stage,same_as_spoplus
step2b_poly_d8,large_improvement,1,G-1161.json,y_spoplus,183.22909808158875,8.986000418663025,0.04674971159277196,3,19,0.5833333333333334,0.46153846153846156,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1169.json,y_opt,283.17279946804047,0.0,0.0,1,19,1.0,0.3448275862068966,0.7727272727272727,True,False,False
step2b_poly_d8,large_improvement,1,G-1169.json,y_2stage,249.4706997871399,33.702099680900574,0.11901602040948947,3,20,0.3448275862068966,1.0,0.3793103448275862,False,True,False
step2b_poly_d8,large_improvement,1,G-1169.json,y_spoplus,272.4616988301277,10.71110063791275,0.03782531605448789,2,20,0.7727272727272727,0.3793103448275862,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-117.json,y_opt,214.569799721241,0.0,0.0,1,19,1.0,1.0,0.4444444444444444,True,True,False
step2b_poly_d8,large_improvement,1,G-117.json,y_2stage,214.569799721241,0.0,0.0,1,19,1.0,1.0,0.4444444444444444,True,True,False
step2b_poly_d8,large_improvement,1,G-117.json,y_spoplus,197.6790992617607,16.890700459480286,0.07871890863217419,2,20,0.4444444444444444,0.4444444444444444,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-118.json,y_opt,147.47579930722713,0.0,0.0,1,13,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-118.json,y_2stage,147.47579930722713,0.0,0.0,1,13,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-118.json,y_spoplus,147.47579930722713,0.0,0.0,1,13,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-1180.json,y_opt,196.5851981639862,0.0,0.0,1,14,1.0,0.45,0.45,True,False,False
step2b_poly_d8,large_improvement,1,G-1180.json,y_2stage,193.99419975280762,2.590998411178589,0.013180027974523525,2,15,0.45,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1180.json,y_spoplus,193.99419975280762,2.590998411178589,0.013180027974523525,2,15,0.45,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1182.json,y_opt,181.53480084240437,0.0,0.0,1,14,1.0,0.15384615384615385,0.15384615384615385,True,False,False
step2b_poly_d8,large_improvement,1,G-1182.json,y_2stage,162.33859872817993,19.196202114224434,0.10574392361764957,2,16,0.15384615384615385,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1182.json,y_spoplus,162.33859872817993,19.196202114224434,0.10574392361764957,2,16,0.15384615384615385,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1186.json,y_opt,172.9532995969057,0.0,0.0,1,14,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-1186.json,y_2stage,172.9532995969057,0.0,0.0,1,14,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-1186.json,y_spoplus,172.9532995969057,0.0,0.0,1,14,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-119.json,y_opt,263.9200006723404,0.0,0.0,1,17,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-119.json,y_2stage,263.9200006723404,0.0,0.0,1,17,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-119.json,y_spoplus,263.9200006723404,0.0,0.0,1,17,1.0,1.0,1.0,True,True,True
step2b_poly_d8,large_improvement,1,G-1195.json,y_opt,180.55229997634888,0.0,0.0,1,14,1.0,0.38095238095238093,0.20833333333333334,True,False,False
step2b_poly_d8,large_improvement,1,G-1195.json,y_2stage,175.92959880828857,4.622701168060303,0.025603114270301985,2,15,0.38095238095238093,1.0,0.5789473684210527,False,True,False
step2b_poly_d8,large_improvement,1,G-1195.json,y_spoplus,170.25009870529175,10.302201271057129,0.05705937433312479,3,15,0.20833333333333334,0.5789473684210527,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1196.json,y_opt,225.75949954986572,0.0,0.0,1,15,1.0,0.7222222222222222,0.6666666666666666,True,False,False
step2b_poly_d8,large_improvement,1,G-1196.json,y_2stage,201.4908001422882,24.268699407577515,0.10749802092920147,3,16,0.7222222222222222,1.0,0.631578947368421,False,True,False
step2b_poly_d8,large_improvement,1,G-1196.json,y_spoplus,219.21110033988953,6.548399209976196,0.02900608489579765,2,15,0.6666666666666666,0.631578947368421,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1197.json,y_opt,237.6969999074936,0.0,0.0,1,15,1.0,0.058823529411764705,0.17857142857142858,True,False,False
step2b_poly_d8,large_improvement,1,G-1197.json,y_2stage,187.59939897060394,50.09760093688965,0.2107624452828034,3,21,0.058823529411764705,1.0,0.3448275862068966,False,True,False
step2b_poly_d8,large_improvement,1,G-1197.json,y_spoplus,235.73889803886414,1.9581018686294556,0.008237806406439735,2,18,0.17857142857142858,0.3448275862068966,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-120.json,y_opt,234.50959800742567,0.0,0.0,1,17,1.0,0.5909090909090909,0.6666666666666666,True,False,False
step2b_poly_d8,large_improvement,1,G-120.json,y_2stage,211.35159789584577,23.158000111579895,0.09875075608140613,3,18,0.5909090909090909,1.0,0.8947368421052632,False,True,False
step2b_poly_d8,large_improvement,1,G-120.json,y_spoplus,216.53069793246686,17.9789000749588,0.0766659455635138,2,18,0.6666666666666666,0.8947368421052632,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1204.json,y_opt,235.4775961637497,0.0,0.0,1,18,1.0,0.52,0.52,True,False,False
step2b_poly_d8,large_improvement,1,G-1204.json,y_2stage,223.36979591846466,12.107800245285034,0.05141805608065297,2,20,0.52,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1204.json,y_spoplus,223.36979591846466,12.107800245285034,0.05141805608065297,2,20,0.52,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1205.json,y_opt,229.89389877021313,0.0,0.0,1,20,1.0,0.4482758620689655,0.28125,True,False,False
step2b_poly_d8,large_improvement,1,G-1205.json,y_2stage,197.86319951713085,32.030699253082275,0.13932818323768592,2,22,0.4482758620689655,1.0,0.34375,False,True,False
step2b_poly_d8,large_improvement,1,G-1205.json,y_spoplus,191.6526989787817,38.24119979143143,0.16634282160595668,3,21,0.28125,0.34375,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1206.json,y_opt,172.72119703888893,0.0,0.0,1,15,1.0,0.4166666666666667,0.4166666666666667,True,False,False
step2b_poly_d8,large_improvement,1,G-1206.json,y_2stage,119.65849989652634,53.062697142362595,0.3072158950497274,2,19,0.4166666666666667,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1206.json,y_spoplus,119.65849989652634,53.062697142362595,0.3072158950497274,2,19,0.4166666666666667,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1209.json,y_opt,152.17579889297485,0.0,0.0,1,9,1.0,0.4,0.4,True,False,False
step2b_poly_d8,large_improvement,1,G-1209.json,y_2stage,140.75289905071259,11.422899842262268,0.07506384014646104,2,12,0.4,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1209.json,y_spoplus,140.75289905071259,11.422899842262268,0.07506384014646104,2,12,0.4,1.0,1.0,False,True,True
step2b_poly_d8,large_improvement,1,G-1220.json,y_opt,234.80940210819244,0.0,0.0,1,15,1.0,0.7647058823529411,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1220.json,y_2stage,228.19620287418365,6.613199234008789,0.02816411597931519,2,15,0.7647058823529411,1.0,0.7647058823529411,False,True,False
step2b_poly_d8,large_improvement,1,G-1220.json,y_spoplus,234.80940210819244,0.0,0.0,1,15,1.0,0.7647058823529411,1.0,True,False,True
step2b_poly_d8,large_improvement,1,G-1221.json,y_opt,201.18960160762072,0.0,0.0,1,13,1.0,0.38095238095238093,0.38095238095238093,True,False,False
step2b_poly_d8,large_improvement,1,G-1221.json,y_2stage,184.46390160918236,16.72569999843836,0.08313401818379473,3,16,0.38095238095238093,1.0,0.8823529411764706,False,True,False
step2b_poly_d8,large_improvement,1,G-1221.json,y_spoplus,185.03970155119896,16.149900056421757,0.08027204153383058,2,16,0.38095238095238093,0.8823529411764706,1.0,False,False,True
step2b_poly_d8,large_improvement,1,G-1226.json,y_opt,152.05389791727066,0.0,0.0,1,12,1.0,0.625,0.625,True,False,False
