regime,case_type,subset_seed,graph_id,method_label,method,selection_metric,num_edges,num_top_error_edges,mse_all_edges,mse_edges_in_opt,mse_edges_in_pred,mse_edges_in_symdiff,mse_edges_not_selected,top10_error_edges_in_opt_rate,top10_error_edges_in_pred_rate,top10_error_edges_in_symdiff_rate
step2b_poly_d8,large_improvement,1,G-907.json,2stage_val_mse,2stage,validation_mse_loss,257,10,13.484680165659698,28.832836997728503,27.146844722142962,16.098819910952727,11.982580046136656,0.4,0.4,0.0
step2b_poly_d8,large_improvement,1,G-907.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,257,10,21.92328655555778,22.618707620480365,24.499405313542123,24.291817394437416,21.695489682942608,0.2,0.3,0.1
step2b_poly_d8,large_improvement,1,G-154.json,2stage_val_mse,2stage,validation_mse_loss,282,10,19.573097039210204,90.55871060618965,73.3598307913421,22.755716752890073,16.473347356501115,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-154.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,282,10,25.37981195689288,69.25226763597549,27.545202618559546,168.21756346940617,23.545608969414896,0.3,0.2,0.1
step2b_poly_d8,large_improvement,1,G-511.json,2stage_val_mse,2stage,validation_mse_loss,245,10,17.82220801613601,64.84790166377879,45.77695129696345,43.87986271337407,14.048382254076992,0.4,0.3,0.1
step2b_poly_d8,large_improvement,1,G-511.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,245,10,26.17792594475225,43.3357470743104,36.655409850875905,31.30291210064954,24.87703721678003,0.4,0.3,0.1
step2b_poly_d8,large_improvement,1,G-947.json,2stage_val_mse,2stage,validation_mse_loss,223,10,14.156404823783351,29.644273488897294,31.36537565424713,11.072711041774978,13.20892267025606,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-947.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,223,10,21.837239928308886,29.761374656611093,29.761374656611093,nan,21.38657823759976,0.1,0.1,0.0
step2b_poly_d8,large_improvement,1,G-1701.json,2stage_val_mse,2stage,validation_mse_loss,307,10,16.240546222190645,75.22328731406584,50.66427549427266,36.57917696180492,11.370049286841812,0.3,0.3,0.2
step2b_poly_d8,large_improvement,1,G-1701.json,spoplus_val_spoplus_loss,spoplus,validation_spoplus_loss,307,10,23.652313821531962,59.66773756542739,42.429177993990976,40.576243257900416,20.836110057632272,0.3,0.3,0.2
