regime,graph_id,subset_seed,comparison,left_role,right_role,edge_id,src,dst,edge_in_left,edge_in_right,edge_in_2stage_rank1,edge_in_best_2stage_near_oracle,edge_in_spoplus_rank1,edge_in_oracle,edge_in_oracle_vs_left_symdiff,edge_in_oracle_vs_right_symdiff,true_weight,pred_2stage,pred_spoplus,error_2stage,error_spoplus,delta_prediction_spoplus_minus_2stage,signed_true_value_delta_right_minus_left,signed_pred_2stage_delta_right_minus_left,signed_pred_spoplus_delta_right_minus_left
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,277,42,39,False,True,False,True,True,True,True,False,15.315099716186523,11.649721174576083,14.54396355365208,-3.6653785416104405,-0.7711361625344431,2.8942423790759975,15.315099716186523,11.649721174576083,14.54396355365208
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,287,47,26,False,True,False,False,True,False,False,True,12.980400085449219,8.716178076807305,13.37789573373196,-4.264222008641914,0.39749564828274053,4.661717656924655,12.980400085449219,8.716178076807305,13.37789573373196
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,308,50,30,True,False,True,False,False,False,True,False,4.713600158691406,7.380437076068859,9.688847245531148,2.666836917377453,4.975247086839742,2.308410169462289,-4.713600158691406,-7.380437076068859,-9.688847245531148
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,313,50,47,False,True,False,False,True,False,False,True,10.191499710083008,8.03059536448212,12.682543343623161,-2.160904345600887,2.491043633540153,4.65194797914104,10.191499710083008,8.03059536448212,12.682543343623161
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,317,52,6,True,False,True,False,False,False,True,False,4.258200168609619,9.5153706290619,8.146418466802166,5.257170460452281,3.8882182981925464,-1.3689521622597347,-4.258200168609619,-9.5153706290619,-8.146418466802166
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_spoplus_rank1,two_stage_rank1,spoplus_rank1,319,52,42,False,True,False,True,True,True,True,False,1.3284000158309937,4.316445015888214,6.816867059008988,2.9880450000572205,5.4884670431779945,2.500422043120774,1.3284000158309937,4.316445015888214,6.816867059008988
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,8,0,45,True,False,True,False,False,False,True,False,15.999500274658203,13.921523386815593,15.03328157521622,-2.0779768878426097,-0.966218699441983,1.1117581884006267,-15.999500274658203,-13.921523386815593,-15.03328157521622
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,21,3,6,False,True,False,True,True,True,True,False,9.309700012207031,13.631050656131016,14.646221776859033,4.321350643923985,5.336521764652002,1.0151711207280165,9.309700012207031,13.631050656131016,14.646221776859033
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,24,4,2,True,False,True,False,False,False,True,False,17.428300857543945,12.111060892976326,14.823726969350114,-5.317239964567619,-2.6045738881938316,2.7126660763737878,-17.428300857543945,-12.111060892976326,-14.823726969350114
step2c_poly_d8_mult_eps050,G-1169.json,5,two_stage_rank1_vs_best_2stage_near_oracle,two_stage_rank1,best_2stage_near_oracle_top20,33,6,3,False,True,False,True,True,True,True,False,1.2585999965667725,3.61376800376585,5.707144646368888,2.3551680071990777,4.448544649802115,2.0933766426030376,1.2585999965667725,3.61376800376585,5.707144646368888
