regime,method_label,case_type,subset_seed,graph_id,baseline_max_cycle,comparison_max_cycle,baseline_rank2_gap_to_oracle,comparison_rank2_gap_to_oracle,delta_rank2_gap_to_oracle,baseline_rank2_normalized_gap,comparison_rank2_normalized_gap,delta_rank2_normalized_gap,baseline_rank2_same_oracle,comparison_rank2_same_oracle,baseline_num_cycle_candidates,comparison_num_cycle_candidates
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-741.json,3,5,45.81939886510372,51.80539874732494,5.985999882221222,0.20954114676925165,0.21549460417202915,0.005953457402777501,False,False,nan,243.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-743.json,3,5,15.822100400924683,12.324000120162964,-3.4981002807617188,0.06457367531617486,0.0502971136695223,-0.014276561646652558,False,False,nan,12.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-747.json,3,5,7.599400162696838,2.8963003158569336,-4.703099846839905,0.04983794933674302,0.017320567827793922,-0.0325173815089491,False,False,nan,32.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-758.json,3,5,19.465800151228905,16.477298870682716,-2.9885012805461884,0.06876799984258002,0.05687807236216901,-0.011889927480411004,False,False,nan,306.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-764.json,3,5,1.4576001167297363,0.0,-1.4576001167297363,0.005872172745227504,0.0,-0.005872172745227504,False,True,nan,95.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-765.json,3,5,12.17229825258255,13.00629922747612,0.83400097489357,0.0595612405813169,0.06059057173650195,0.0010293311551850537,False,False,nan,51.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-775.json,3,5,7.85159969329834,25.118799343705177,17.267199650406837,0.027762758887459684,0.08095380356280797,0.053191044675348284,False,False,nan,60.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-776.json,3,5,4.615600109100342,6.515599966049194,1.8999998569488525,0.02470461410790626,0.03268386289585258,0.00797924878794632,False,False,nan,17.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-777.json,3,5,2.205699920654297,22.422401279211044,20.216701358556747,0.008613643090627121,0.0817082450011042,0.07309460191047708,False,False,nan,167.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-778.json,3,5,5.177299857139587,7.366199851036072,2.1888999938964844,0.06848443310543754,0.05199045449928691,-0.016493978606150636,False,False,nan,9.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-781.json,3,5,12.958899915218353,12.958899915218353,0.0,0.15988417411633737,0.15988417411633737,0.0,False,False,nan,2.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-788.json,3,5,14.686099171638489,29.00559914112091,14.319499969482422,0.07459928069197973,0.1382564059248374,0.06365712523285767,False,False,nan,26.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-799.json,3,5,19.582800179719925,25.78089940547943,6.198099225759506,0.06764938901678454,0.07760137407310015,0.009951985056315615,False,False,nan,456.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-810.json,3,5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,nan,37.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-817.json,3,5,15.922601819038391,0.0,-15.922601819038391,0.12027769377784885,0.0,-0.12027769377784885,False,True,nan,35.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-821.json,3,5,9.126300066709518,12.941599726676941,3.8152996599674225,0.04682166079607623,0.0659012400587545,0.019079579262678274,False,False,nan,9.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-824.json,3,5,23.378897573798895,10.16220000013709,-13.216697573661804,0.08801662907236357,0.03259225542899242,-0.055424373643371154,False,False,nan,125.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-832.json,3,5,0.0,0.0,0.0,0.0,0.0,0.0,True,True,nan,14.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-833.json,3,5,19.1080020070076,37.66950062662363,18.56149861961603,0.10234739067892733,0.18183736302346112,0.0794899723445338,False,False,nan,17.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-841.json,3,5,5.87529993057251,1.2330000400543213,-4.6422998905181885,0.02891653856197346,0.005051868860167753,-0.023864669701805705,False,False,nan,141.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-859.json,3,5,0.0,16.405999198555946,16.405999198555946,0.0,0.1935089599855432,0.1935089599855432,True,False,nan,4.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-864.json,3,5,16.318500570952892,16.318500570952892,0.0,0.32091950871976826,0.32091950871976826,0.0,False,False,nan,0.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-865.json,3,5,0.0,8.035900950431824,8.035900950431824,0.0,0.027916653712776743,0.027916653712776743,True,False,nan,88.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-866.json,3,5,13.658596515655518,13.658596515655518,0.0,0.06309811526800975,0.06010264505005568,-0.0029954702179540715,False,False,nan,28.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-867.json,3,5,3.610900640487671,0.0,-3.610900640487671,0.016939598124106846,0.0,-0.016939598124106846,False,True,nan,54.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-877.json,3,5,8.434500336647034,14.70050048828125,6.266000151634216,0.041642229381544264,0.06844168465544245,0.02679945527389819,False,False,nan,16.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-88.json,3,5,23.532198429107666,23.532198429107666,0.0,0.15187305662767553,0.15187305662767553,0.0,False,False,nan,9.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-882.json,3,5,10.493200302124023,17.688599824905396,7.195399522781372,0.05287440271497909,0.08528987434882167,0.03241547163384258,False,False,nan,55.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-890.json,3,5,0.2833000123500824,0.0,-0.2833000123500824,0.001841082153697754,0.0,-0.001841082153697754,False,True,nan,81.0
step2b_poly_d8,spoplus_val_spoplus_loss,weak_borderline_improvement,27,G-897.json,3,5,18.92350125312805,1.1161999702453613,-17.80730128288269,0.08142484846113486,0.0041050240827553855,-0.07731982437837948,False,False,nan,78.0
